,Tipo_Muerte,Zona,Subzona,Distrito,Circuito,Cod._Subcircu,Subcircuito,Codigo_Provincia,Codigo_Provincia_2,Codigo_Canton,Codigo_Canton_2,Coord_Y,Coord_X,Coord_Y_Rev,Coord_X_Rev,Area_Hecho,Lugar,Tipo_Lugar,Fecha_Infraccion,Hora_Infraccion,Arma,Tipo_Arma,Presunta_Motivacion,Presunta_Motivacion_Obs,Probable_Causa,Edad,Medida_Edad,Sexo,Genero,Etnia,Estado_Civil,Nacionalidad,Discapacidad,Profesion,Instruccion,Antecedentes,Anio_i,Mes_i,Hora,Rango_Edad,Mecanismo,Parroquia,Dia_Semana
count,4681,4681,4681,4681,4681,4681,4681,4681,4681.0,4681,4681.0,4681.0,4681.0,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681.0,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681,4681.0,4681.0,4681.0,4681,4681,4681,4681
unique,4,1,1,10,57,225,225,1,,1,,,,3422,3514,2,59,2,,539,5,28,5,20,15,,2,3,7,10,7,10,7,44,10,2,,,,9,3,57,7
top,ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,GUASMO,09D10C03S01,PROGRESO 1,GUAYAS,,GUAYAQUIL,,,,"-2,05309","-79,9436",URBANO,VÍA PÚBLICA,PÚBLICO,,20:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO,SI,,,,18-26,Arma de Fuego,GUASMO,Sunday
freq,4602,4681,4681,1018,226,199,199,4681,,4681,,,,29,28,4507,3554,3881,,108,4154,2999,4573,2649,4153,,4447,4268,4236,3844,3535,4155,4655,2215,4078,4479,,,,1420,4154,226,783
mean,,,,,,,,,9.0,,901.0,-2.188133988464003,-79.94698044007691,,,,,,2025-02-07 16:55:46.977141,,,,,,,31.37449262977996,,,,,,,,,,,2024.6259346293527,1.0,13.814142277291177,,,,
min,,,,,,,,,9.0,,901.0,-3.01092,-80.38027,,,,,,2024-01-01 00:00:00,,,,,,,0.0,,,,,,,,,,,2024.0,1.0,0.0,,,,
25%,,,,,,,,,9.0,,901.0,-2.23311,-79.95816,,,,,,2024-08-31 00:00:00,,,,,,,24.0,,,,,,,,,,,2024.0,1.0,8.0,,,,
50%,,,,,,,,,9.0,,901.0,-2.19137,-79.92912,,,,,,2025-02-22 00:00:00,,,,,,,29.0,,,,,,,,,,,2025.0,1.0,16.0,,,,
75%,,,,,,,,,9.0,,901.0,-2.10687,-79.9064,,,,,,2025-07-20 00:00:00,,,,,,,37.0,,,,,,,,,,,2025.0,1.0,20.0,,,,
max,,,,,,,,,9.0,,901.0,-1.98526,-79.31205,,,,,,2026-01-31 00:00:00,,,,,,,89.0,,,,,,,,,,,2026.0,1.0,23.0,,,,
std,,,,,,,,,0.0,,0.0,0.12210250970144787,0.08043948019231432,,,,,,,,,,,,,11.43508727688222,,,,,,,,,,,0.5661406940587782,0.0,7.18881942599631,,,,
