Variable,Gain,Weight,Cover,Ranking
Parroquia_SAN FRANCISCO,22.33800506591797,109.0,769.3889770507812,1
Tipo_Lugar_PÚBLICO,8.862533569335938,97.0,328.00299072265625,2
Parroquia_9 DE OCTUBRE,8.231233596801758,18.0,131.23297119140625,3
Presunta_Motivacion_DELINCUENCIA COMÚN,8.06008529663086,201.0,391.2312316894531,4
Parroquia_SAUCES,7.594047546386719,43.0,436.5449523925781,5
Presunta_Motivacion_VIOLENCIA INTRAFAMILIAR,7.128015995025635,75.0,742.447509765625,6
Mes_i_noviembre,7.050719261169434,295.0,184.68832397460938,7
Distrito_NUEVA PROSPERINA,6.460294246673584,97.0,272.3611755371094,8
Presunta_Motivacion_VIOLENCIA COMUNITARIA,5.966653347015381,105.0,226.65216064453125,9
Parroquia_PROGRESO,5.371355056762695,85.0,239.1571502685547,10
Sexo_NO DETERMINADO,5.300196170806885,85.0,586.9984130859375,11
Parroquia_PARAÍSO LA FLOR,5.273364067077637,102.0,410.9010314941406,12
Parroquia_MONTE SINAÍ,5.200511455535889,155.0,339.21636962890625,13
Parroquia_GUASMO,5.040550708770752,98.0,228.382080078125,14
Mes_i_diciembre,4.697988033294678,197.0,311.22882080078125,15
Parroquia_TRINITARIA SUR,4.686522006988525,94.0,448.4386901855469,16
Parroquia_ATARAZANA,4.541074752807617,46.0,699.144775390625,17
Parroquia_FLOR DE BASTIÓN,4.4988908767700195,84.0,376.1848449707031,18
Tipo_Lugar_PRIVADO,4.480593681335449,273.0,190.6637420654297,19
Distrito_FLORIDA,4.4736647605896,64.0,763.274658203125,20
