,Missing_Count,Percentage
Tipo_Muerte,0,0.0
Zona,0,0.0
Subzona,0,0.0
Distrito,0,0.0
Circuito,0,0.0
Cod._Subcircu,0,0.0
Subcircuito,0,0.0
Codigo_Provincia,0,0.0
Codigo_Provincia_2,0,0.0
Codigo_Canton,0,0.0
Codigo_Canton_2,0,0.0
Coord_Y,0,0.0
Coord_X,0,0.0
Coord_Y_Rev,0,0.0
Coord_X_Rev,0,0.0
Area_Hecho,0,0.0
Lugar,0,0.0
Tipo_Lugar,0,0.0
Fecha_Infraccion,0,0.0
Hora_Infraccion,0,0.0
Arma,0,0.0
Tipo_Arma,0,0.0
Presunta_Motivacion,0,0.0
Presunta_Motivacion_Obs,0,0.0
Probable_Causa,0,0.0
Edad,0,0.0
Medida_Edad,0,0.0
Sexo,0,0.0
Genero,0,0.0
Etnia,0,0.0
Estado_Civil,0,0.0
Nacionalidad,0,0.0
Discapacidad,0,0.0
Profesion,0,0.0
Instruccion,0,0.0
Antecedentes,0,0.0
Anio_i,0,0.0
Mes_i,0,0.0
Hora,0,0.0
Rango_Edad,0,0.0
Mecanismo,0,0.0
Parroquia,0,0.0
Dia_Semana,0,0.0
